Presence,URL_ID,Category,Title
1,1901.01341,cs.LG,Sheaves: A Topological Approach to Big Data
1,1810.06339,cs.LG,Deep Reinforcement Learning
1,1808.08497,cs.AI,FinBrain: When Finance Meets AI 2.0
1,1807.11573,cs.CV,State-of-the-art and gaps for deep learning on limited training data in remote sensing
1,1806.11484,hep-ex,Deep Learning and its Application to LHC Physics
1,1806.10897,cs.LG,"Deep learning in business analytics and operations research: Models, applications and managerial implications"
1,1806.02308,cs.AI,"Model-free, Model-based, and General Intelligence"
1,1804.08150,cs.NE,Deep Learning in Spiking Neural Networks
1,1804.06458,cs.AI,Deep Probabilistic Programming Languages: A Qualitative Study
1,1802.01528,cs.LG,The Matrix Calculus You Need For Deep Learning
1,1712.04711,cs.CV,Regularization and Optimization strategies in Deep Convolutional Neural Network
1,1712.03141,cs.CV,Wild Patterns: Ten Years After the Rise of Adversarial Machine Learning
1,1711.01134,cs.AI,Accountability of AI Under the Law: The Role of Explanation
1,1709.02779,quant-ph,Machine learning \& artificial intelligence in the quantum domain
1,1708.07902,cs.AI,Deep Learning for Video Game Playing
1,1707.08561,quant-ph,Quantum machine learning: a classical perspective
1,1707.07217,cs.RO,Deep Learning in Robotics: A Review of Recent Research
1,1706.09077,cs.CV,Super-Resolution via Deep Learning
1,1705.01509,cs.IR,Neural Models for Information Retrieval
1,1702.07800,cs.LG,On the Origin of Deep Learning
1,1701.01887,cs.LG,Deep Learning for Time-Series Analysis
1,1611.09347,quant-ph,Quantum Machine Learning
1,1611.08097,cs.CV,Geometric deep learning: going beyond Euclidean data
1,1606.05386,stat.ML,Model-Agnostic Interpretability of Machine Learning
1,1606.04838,stat.ML,Optimization Methods for Large-Scale Machine Learning
1,1603.06430,cs.LG,Deep Learning in Bioinformatics
0,cs/9904001,cs.CY,A Proposal for the Establishment of Review Boards - a flexible approach to the selection of academic knowledge
0,cs/0611113,cs.CL,"An Anthological Review of Research Utilizing MontyLingua, a Python-Based End-to-End Text Processor"
0,cs/0607051,cs.CL,Raisonner avec des diagrammes : perspectives cognitives et computationnelles
0,cs/0605120,cs.AI,"Understanding Design Fundamentals: How Synthesis and Analysis Drive Creativity, Resulting in Emergence"
0,cs/0408048,cs.CY,Journal of New Democratic Methods: An Introduction
0,cs/0312059,cs.AI,"Polyhierarchical Classifications Induced by Criteria Polyhierarchies, and Taxonomy Algebra"
0,cs/0210026,cs.CR,Encoding a Taxonomy of Web Attacks with Different-Length Vectors
0,cs/0203012,cs.MA,Interface agents: A review of the field
0,cmp-lg/9805004,cmp-lg,Annotation Style Guide for the Blinker Project
0,cmp-lg/9506019,cmp-lg,"Review of Charniak's ""Statistical Language Learning"""
0,1812.10111,cs.GR,A Survey on Non-rigid 3D Shape Analysis
0,1812.08102,cs.CV,The Random Forest Classifier in WEKA: Discussion and New Developments for Imbalanced Data
