Presence,Term
1,basic principles
1,best practices
1,brief history
1,critical appraisal
1,critical reflection
1,discussion
1,foundations
1,fundamentals
1,guide
1,guidelines
1,history of
1,introduction
1,mathematics of
1,notes on
1,nutshell
1,overview
1,perspectives
1,practical recommendations
1,present and future
1,primer
1,recent advances
1,review
1,summary and
1,summary description
1,summary of
1,survey
1,taxonomy
1,tour
1,treatise
1,tutorial
0,aerial survey
0,airline review
0,and guide
0,app reviews
0,arabic
0,as a guide to
0,assisted review
0,bengali
0,blooms taxonomy
0,book review
0,can guide
0,case study
0,chinese
0,comments on
0,company fundamentals
0,competition
0,conference
0,conll
0,czech
0,dark energy survey
0,devnagari
0,discussion boards
0,discussion features
0,discussion forum
0,discussion points
0,discussion threads
0,domain taxonomy
0,eirex
0,empirical
0,europe
0,exhibition guide
0,experimental survey
0,french
0,generate review
0,harvard business review
0,hindi
0,ibm
0,in a taxonomy
0,indian
0,introduction of
0,kannada
0,learning taxonomy
0,malayalam
0,matlab toolbox
0,medical guidelines
0,moral foundations
0,movie review
0,nips
0,norwegian
0,online discussion
0,online reviews
0,patent
0,peer review
0,peerus review
0,prescribing guidelines
0,product review
0,punjabi
0,r package
0,review abuse
0,review based
0,review datasets
0,review detection
0,review helpfulness
0,review process
0,review rating
0,review representations
0,review scores
0,review selection
0,review spammers
0,sampling guidelines
0,sinhala
0,sinographic
0,sky survey
0,statistical survey
0,survey coders
0,survey data
0,survey evaluation
0,survey extraction
0,survey problem
0,survey propagation
0,survey questions
0,survey schemes
0,task taxonomy
0,taxonomy construction
0,taxonomy extraction
0,taxonomy generation
0,taxonomy induction
0,taxonomy modification
0,taxonomy refinement
0,to a taxonomy
0,to guide
0,tour problem
0,tour recommendation
0,transient survey
0,travel survey
0,tutorial generation
0,user review
0,wikiconv
0,workshop
0,wsdm cup
