ID,Category,Title
1812.03362,cs.LG,Letting symmetry guide visualization: multidimensional scaling on groups
1812.02580,cs.AI,Selected Qualitative Spatio-temporal Calculi Developed for Constraint Reasoning: A Review
1811.12787,cs.AI,A Tutorial for Weighted Bipolar Argumentation with Continuous Dynamical Systems and the Java Library Attractor
1811.12455,cs.AI,Unifying Decision-Making: a Review on Evolutionary Theories on Rationality and Cognitive Biases
1811.11815,cs.LG,Unrepresentative video data: A review and evaluation
1811.05724,cs.AI,An Introduction to Fuzzy & Annotated Semantic Web Languages
1810.13163,stat.ML,A tutorial on MDL hypothesis testing for graph analysis
1810.09245,cs.AI,A Review on Learning Planning Action Models for Socio-Communicative HRI
1808.08433,cs.AI,A Tutorial on Modular Ontology Modeling with Ontology Design Patterns: The Cooking Recipes Ontology
1808.01690,cs.AI,Error Detection in a Large-Scale Lexical Taxonomy
1804.07958,cs.IR,Expert Finding in Community Question Answering: A Review
1804.00038,cs.AI,Overview: A Hierarchical Framework for Plan Generation and Execution in Multi-Robot Systems
1803.06818,cs.AI,Artificial Intelligence Enabled Software Defined Networking: A Comprehensive Overview
1801.06323,cs.IR,"Plagiarism: Taxonomy, Tools and Detection Techniques"
1802.04947,cs.LG,Attack RMSE Leaderboard: An Introduction and Case Study
1801.00218,cs.AI,Game-theoretic Network Centrality: A Review
1709.06758,cs.IR,A shared latent space matrix factorisation method for recommending new trial evidence for systematic review updates
1708.07193,stat.ML,Applications of Trajectory Data from the Perspective of a Road Transportation Agency: Literature Review and Maryland Case Study
1707.09837,stat.ML,Review of Machine Learning Algorithms in Differential Expression Analysis
1705.07606,stat.ML,Guide Actor-Critic for Continuous Control
1705.03967,cs.LG,GQ($λ$) Quick Reference and Implementation Guide
1610.03793,cs.LG,Introduction to the Industrial Benchmark
1608.08252,cs.AI,Business Process Deviance Mining: Review and Evaluation
1605.09351,cs.LG,Review of Fall Detection Techniques: A Data Availability Perspective
